id,domain,source_type,source_id,source_url,question_type,difficulty,question,context,expected_answer,scoring_rubric,model_answer,ragas_factual_correctness,ragas_semantic_similarity,ragas_final_score,manual_final_score,manual_comment,model,temperature,latency_sec,created_at,prompt_tokens,completion_tokens,total_tokens,error
habr_879914_001,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое массив и как его элементы располагаются в памяти?,Раздел про массивы.,Массив хранит элементы одного типа в непрерывном блоке памяти; доступ к элементу выполняется по индексу.,,"Массив — это структура данных, представляющая собой совокупность элементов одного типа. В памяти элементы массива располагаются последовательно (непрерывно) друг за другом.",,,,,,gemma-4-31b-it-mlx,0.0,4.094,2026-06-10T15:11:31,83,35,118,
habr_879914_002,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,Почему доступ к элементу массива по индексу обычно имеет сложность O(1)?,Раздел про массивы и операции с ними.,"Потому что адрес элемента можно вычислить напрямую по базовому адресу массива, размеру элемента и индексу.",,"Доступ к элементу массива имеет сложность $O(1)$, так как элементы расположены в памяти последовательно. Адрес нужного элемента вычисляется по формуле: `адрес начала + (индекс * размер одного элемента)`. Это позволяет процессору обратиться к конкретной ячейке памяти напрямую за одно действие.",,,,,,gemma-4-31b-it-mlx,0.0,5.878,2026-06-10T15:11:37,92,67,159,
habr_879914_003,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,comparison,easy,В чем основное отличие статического массива от динамического массива?,Раздел про массивы.,"Статический массив имеет фиксированный размер, а динамический может изменять размер за счет выделения нового блока памяти и копирования элементов.",,"Основное отличие заключается в способе управления памятью и размере: статический массив имеет фиксированный размер, определяемый при компиляции, а динамический может изменять свой размер во время выполнения программы.",,,,,,gemma-4-31b-it-mlx,0.0,4.432,2026-06-10T15:11:41,84,42,126,
habr_879914_004,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,"Почему вставка элемента в середину массива обычно дороже, чем чтение элемента по индексу?",Раздел про массивы и стоимость операций.,"При вставке в середину нужно сдвигать последующие элементы, поэтому операция требует линейного времени O(n).",,"Вставка в середину массива дороже, так как требует сдвига всех последующих элементов для освобождения места, в то время как чтение по индексу происходит мгновенно за счет прямого вычисления адреса в памяти.",,,,,,gemma-4-31b-it-mlx,0.0,4.691,2026-06-10T15:11:46,93,48,141,
habr_879914_005,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое связный список и из чего состоит его узел?,Раздел про связные списки.,"Связный список состоит из узлов; каждый узел хранит данные и ссылку на следующий узел, а в двусвязном списке еще и ссылку на предыдущий.",,"Связный список — это линейная структура данных, в которой элементы хранятся не в смежных ячейках памяти, а связаны между собой с помощью ссылок.

Узел связного списка состоит из двух частей:
1. **Данные** (полезная нагрузка).
2. **Ссылка** (указатель) на следующий узел в списке.",,,,,,gemma-4-31b-it-mlx,0.0,6.359,2026-06-10T15:11:52,88,80,168,
habr_879914_006,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,application,medium,В какой ситуации связный список может быть удобнее массива?,Раздел про сравнение массивов и списков.,"Связный список удобен, когда важны частые вставки и удаления элементов без сдвига большого числа элементов.",,"Связный список удобнее массива в ситуациях, когда требуется частое добавление или удаление элементов (особенно в начале или середине структуры), так как эти операции выполняются быстрее, чем в массиве.",,,,,,gemma-4-31b-it-mlx,0.0,4.586,2026-06-10T15:11:57,89,44,133,
habr_879914_007,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,Почему доступ к произвольному элементу связного списка имеет сложность O(n)?,Раздел про связные списки и операции.,"Потому что элементы не лежат подряд в памяти, и для доступа к нужному элементу нужно пройти список от начала или другого известного узла.",,"Доступ к произвольному элементу имеет сложность $O(n)$, так как элементы связного списка не расположены в памяти последовательно. Чтобы найти нужный элемент, необходимо последовательно пройти по ссылкам от головы списка до целевого узла.",,,,,,gemma-4-31b-it-mlx,0.0,4.843,2026-06-10T15:12:02,94,52,146,
habr_879914_008,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,comparison,easy,Чем односвязный список отличается от двусвязного?,Раздел про разновидности связных списков.,"В односвязном списке узел содержит ссылку только на следующий узел, а в двусвязном — на следующий и предыдущий.",,"В односвязном списке каждый узел содержит ссылку только на следующий элемент, а в двусвязном — ссылки и на следующий, и на предыдущий элементы.",,,,,,gemma-4-31b-it-mlx,0.0,3.957,2026-06-10T15:12:06,90,35,125,
habr_879914_009,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое стек и какой принцип работы он использует?,Раздел про стек.,Стек — структура данных с принципом LIFO: последним добавленный элемент извлекается первым.,,"Стек — это структура данных, которая работает по принципу **LIFO** (Last In, First Out — «последним пришел, первым ушел»).",,,,,,gemma-4-31b-it-mlx,0.0,3.915,2026-06-10T15:12:10,80,34,114,
habr_879914_010,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Какие базовые операции обычно есть у стека?,Раздел про стек и его операции.,"Обычно у стека есть операции push для добавления, pop для извлечения и peek/top для просмотра верхнего элемента.",,"Базовые операции стека:
1. **Push** — добавление элемента на вершину стека.
2. **Pop** — удаление и возврат элемента с вершины стека.
3. **Peek (или Top)** — просмотр верхнего элемента без его удаления.",,,,,,gemma-4-31b-it-mlx,0.0,6.123,2026-06-10T15:12:16,83,61,144,
habr_879914_011,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,application,medium,"Приведи пример задачи, где естественно использовать стек.",Раздел про применение стека.,"Стек естественно использовать для обработки скобочных выражений, отката действий, обхода в глубину или хранения вызовов функций.",,"В предоставленном контексте нет конкретных примеров задач.

Общий пример задачи, где естественно использовать стек: **реализация функции «Отменить» (Undo)** в текстовых редакторах или **переход назад по истории страниц** в браузере.",,,,,,gemma-4-31b-it-mlx,0.0,5.018,2026-06-10T15:12:21,83,55,138,
habr_879914_012,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое очередь и какой принцип работы она использует?,Раздел про очередь.,Очередь — структура данных с принципом FIFO: первым добавленный элемент извлекается первым.,,Данных в предоставленном контексте недостаточно для ответа.,,,,,,gemma-4-31b-it-mlx,0.0,2.662,2026-06-10T15:12:24,80,13,93,
habr_879914_013,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,comparison,easy,Чем очередь отличается от стека?,Разделы про стек и очередь.,"Стек работает по принципу LIFO, а очередь — по принципу FIFO.",,"Очередь работает по принципу **FIFO** (первым пришел — первым ушел), а стек — по принципу **LIFO** (последним пришел — первым ушел).",,,,,,gemma-4-31b-it-mlx,0.0,4.194,2026-06-10T15:12:28,80,42,122,
habr_879914_014,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,application,medium,Для чего может использоваться очередь в программировании?,Раздел про применение очереди.,"Очередь используется для планирования задач, обработки запросов, буферизации данных и обхода графа в ширину.",,"В предоставленном контексте нет конкретных данных о применении очереди. На основе общих знаний: очередь используется для управления данными в порядке FIFO (первым пришел — первым ушел), например, для организации очередей печати, обработки запросов к серверу или реализации алгоритма обхода графа в ширину (BFS).",,,,,,gemma-4-31b-it-mlx,0.0,5.738,2026-06-10T15:12:34,80,69,149,
