id;domain;source_type;source_id;source_url;question_type;difficulty;question;context;expected_answer;scoring_rubric;model_answer;ragas_factual_correctness;ragas_semantic_similarity;ragas_final_score;manual_final_score;manual_comment;model;temperature;latency_sec;created_at;prompt_tokens;completion_tokens;total_tokens;error
rag_question_001;Детский мир;sapiense;;;;;Как загрузить табеля вручную?;;"Для ручной выгрузки табелей самозанятых, нужно:
1. Зайти в транзакцию ZEWM_SET04R
2. Нажать кнопку «Загрузить»
3. В открывшемся окне выбрать файл с табелями в формате .xlsx или .csv и нажать кнопку «Открыть»

4. В появившемся окне нажать кнопку «Допустить»

5. При успешной загрузке появится следующее сообщение
";;"## Ручная загрузка табелей

Согласно инструкции, для ручной загрузки табелей самозанятых выполните следующие шаги:

### 📋 Пошаговая инструкция

1. **Зайдите в транзакцию** `ZEWM_SET04R`
2. **Нажмите кнопку** «Загрузить»
3. **В открывшемся окне** выберите файл с табелями в формате **.xlsx** или **.csv** и нажмите кнопку «Открыть»
4. **В появившемся окне безопасности SAP GUI** нажмите кнопку «Допустить»
5. **При успешной загрузке** появится сообщение «Данные успешно загружены»

### 🖼️ Интерфейс системы

![Главный экран загрузки табелей](https://ai.sapiens.solutions/public/images/Project%20documentation/Детский%20мир/Доработки%20хранилища%202024/CAB-3096.%20Автоматизация%20расчёта%20ЗП%20в%20РЦ%20%28Самозанятые%29/03%20Инструкции%20и%20руководства/Инструкция%20по%20ручной%20загрузке%20табеля.docx/0.png)

![Окно выбора файла](https://ai.sapiens.solutions/public/images/Project%20documentation/Детский%20мир/Доработки%20хранилища%202024/CAB-3096.%20Автоматизация%20расчёта%20ЗП%20в%20РЦ%20%28Самозанятые%29/03%20Инструкции%20и%20руководства/Инструкция%20по%20ручной%20загрузке%20табеля.docx/6.png)

### ⚠️ Важное правило обновления данных

При загрузке табелей происходит **полная перезапись данных** в системе за те недели, что присутствуют в загружаемом файле.

**Если нужно обновить существующие данные:**
1. Определите, по каким неделям будут произведены изменения
2. Поместите в файл **все данные за эти недели** (актуальные данные, присутствующие в системе)
3. Внесите изменения в те строки, где это нужно
4. Выгрузите файл

**Пример:** Если нужно изменить признак адаптации пользователя RABDUVALIEV за недели 412024 и 422024, в файл нужно поместить актуальные данные за эти недели по всем пользователям и внести изменения только для нужного пользователя.";;;;;;;;24.793;2026-06-22T11:28:52;;;;
rag_question_002;Детский мир;sapiense;;;;;Как обновить ранее загруженные данные по табелям самозанятых?;;"При загрузке табелей происходит полная перезапись данных в системе за те недели, что присутствуют в загружаемом файле. В том случае, если файл загружается с целью обновления данных, которые уже присутствуют в системе, необходимо:
1. Определить, по каким неделям будут произведены изменения.
2. Поместить в файл все данные за эти недели (актуальные данные, присутствующие в системе).
3. Внести изменения в те строки, где это нужно.
4. Выгрузить данные.
Пример: 
Допустим, мы хотим внести изменения в признак адаптации пользователя RABDUVALIEV за недели 412024 и 422024:

В файл помещаем актуальные на текущий момент данные за недели 412024 и 422024 по всем пользователям и вносим изменения для пользователя RABDUVALIEV.


После того как изменения сохранены, файл выгружается как описано в пункте «Ручная загрузка табелей».
";;"## Обновление ранее загруженных данных по табелям самозанятых

Согласно инструкции, при загрузке табелей происходит **полная перезапись данных** в системе за те недели, которые присутствуют в загружаемом файле.

### Порядок действий для обновления данных:

1. **Определите недели**, по которым будут произведены изменения
2. **Поместите в файл все данные** за эти недели (актуальные данные, которые уже присутствуют в системе)
3. **Внесите изменения** в те строки, где это необходимо
4. **Выгрузите файл** через ручную загрузку

### Пример:
Если нужно изменить признак адаптации для пользователя `RABDUVALIEV` за недели `412024` и `422024`:
- В файл помещаются **все актуальные данные** за недели 412024 и 422024 по всем пользователям
- Вносятся изменения только для пользователя RABDUVALIEV
- Файл выгружается через стандартную процедуру загрузки

### Процедура ручной загрузки:

1. Зайти в транзакцию **ZEWM_SET04R**
2. Нажать кнопку **«Загрузить»**
3. Выбрать файл с табелями в формате **.xlsx** или **.csv**
4. Нажать кнопку **«Открыть»**
5. В появившемся окне нажать кнопку **«Допустить»**
6. Дождаться сообщения об успешной загрузке

![Интерфейс загрузки табелей](https://ai.sapiens.solutions/public/images/Project%20documentation/Детский%20мир/Доработки%20хранилища%202024/CAB-3096.%20Автоматизация%20расчёта%20ЗП%20в%20РЦ%20%28Самозанятые%29/03%20Инструкции%20и%20руководства/Инструкция%20по%20ручной%20загрузке%20табеля.docx/0.png)

⚠️ **Важно:** Нельзя загрузить только изменённые строки — файл должен содержать **полные данные за все недели**, которые обновляются.";;;;;;;;24.509;2026-06-22T11:29:17;;;;
rag_question_003;Детский мир;sapiense;;;;;Как добавить псевдонимы процессов размещения в МП и ОЛ?;;"Для добавления новых процессов в МП нужно:
1. Завести новый процесс в транзакции ZEWM_LM_DATA в EWM:
Нажать на иконку выполнить.
Перейти во вкладку «Процессы склада (справочник)» и нажать кнопку «Новые записи»:
Внести данные по новым процессам и нажать на иконку «Сохранить»:
2. После ближайшего переноса данных из EWM в BW (происходит ежедневно в 9, 12 и 15 часов), внести новые процессы-псевднонимы в настроечную таблицу «ВСП для Размещение и Старая схема» в транзакции ZEWM_SET02 в BW и сохранить изменения:
3. Внести данные для процессов-псевдонимов в таблицу «Индикация коэффициентов»

Если этого не сделать, тарифы и надбавочные коэффициенты по этому процессу будут приняты равными нулю (в данном случае, для тарифа 5507).
4. Если это необходимо - заполнить поле «Процесс склада» для процессов-псевдонимов в остальных таблицах, в которых это поле фигурирует:
После сохранения всех изменений процессы-псевдонимы отобразятся в отчете.
Для удаления процессов-псевдонимов предыдущие шаги нужно выполнить в обратном порядке.
";;"## Как добавить псевдонимы процессов размещения в МП и ОЛ

Нашёл инструкцию по добавлению процессов-псевдонимов. Вот пошаговый алгоритм:

### Шаг 1: Завести новый процесс в EWM
1. Откройте транзакцию **ZEWM_LM_DATA** в EWM
2. Нажмите на иконку **«Выполнить»**
3. Перейдите во вкладку **«Процессы склада (справочник)»**
4. Нажмите кнопку **«Новые записи»**
5. Внесите данные по новым процессам
6. Нажмите иконку **«Сохранить»**

### Шаг 2: Дождаться переноса данных
После сохранения дождитесь ближайшего переноса данных из EWM в BW. Перенос происходит **ежедневно в 9, 12 и 15 часов**.

### Шаг 3: Внести процессы-псевдонимы в BW
1. Откройте транзакцию **ZEWM_SET02** в BW
2. Внесите новые процессы-псевдонимы в настроечную таблицу **«ВСП для Размещение и Старая схема»**
3. Сохраните изменения

### Шаг 4: Настроить коэффициенты
Внесите данные для процессов-псевдонимов в таблицу **«Индикация коэффициентов»**.

> ⚠️ **Важно:** Если этого не сделать, тарифы и надбавочные коэффициенты по этому процессу будут приняты равными нулю (для тарифа 5507).

### Шаг 5: Дополнительные настройки (при необходимости)
Заполните поле **«Процесс склада»** для процессов-псевдонимов в остальных таблицах, где это поле фигурирует.

### Шаг 6: Проверка
После сохранения всех изменений процессы-псевдонимы отобразятся в отчёте.

---

**Для удаления процессов-псевдонимов** выполните предыдущие шаги в обратном порядке.

📄 *Источник: Краткая инструкция по добавлению новых процессов в МП (проект Детский мир, CAB-3096)*";;;;;;;;53.55;2026-06-22T11:30:10;;;;
rag_question_004;Детский мир;sapiense;;;;;Как устроен бизнес-процесс в годовом финансовом закрытии?;;"По итогу года в начале января проходит годовое финансовое закрытие. В учётной системе формируются документы с суммой сбора с поставщика: часть документов формируется автоматически на основе объема закупок, часть формируется автоматически или проводится вручную через сбытовые заказы. Ниже будет рассмотрен бизнес-процесс только в части сбытовых заказов, проводимых вручную коммерческим департаментом.
После обсуждения условий компенсации с поставщиками, коммерческий департамент фиксирует договорённости посредством проведения сбытового заказа через пользовательский функционал в учётной системе. Бухгалтерия фактурирует все сбытовые заказы, проведённые в закрываемом периоде, выставляет акты на оплату поставщику. В бухгалтерском учёте формируются проводки Дт76 «Расчёты по бонусам поставщиков» - Кт91 «Бонусы поставщиков». 
Далее документы с суммой сбора забираются в аналитическую систему для последующей обработки. В аналитической системе осуществляется расчёт признания ретро-бонусов. В рамках расчёта признания сумма сбора распределяется на приходы / продажи по базе распределения. Сбор, распределённый на приходы, признаётся по мере выбытия прихода на основании модели ФИФО. Сбор, распределённый на продажи, признаётся в полном объёме по окончании периода признания. После расчёта признания осуществляется расчёт товарных резервов.
После окончания системных расчётов департамент финансового контроля осуществляет выпуск отчётности. Данные из отчётов по итогам расчёта признания ретро-бонусов передаются в коммерческую бухгалтерию. Бухгалтерия проводит сумму признанного бонуса проводкой Дт91 «Бонусы поставщиков» – Кт41 «Товары фин».
";;"На основе документации компании я нашел информацию о бизнес-процессе годового финансового закрытия. Вот как он устроен:

## 📊 Бизнес-процесс годового финансового закрытия

### **Основные этапы**

#### **1. Подготовка документов (начало января)**
По итогу года в учётной системе формируются документы с суммой сбора с поставщика:
- Часть документов формируется **автоматически** на основе объема закупок
- Часть формируется **вручную** через сбытовые заказы коммерческим департаментом

#### **2. Проведение сбытовых заказов**
- Коммерческий департамент фиксирует договорённости с поставщиками посредством проведения сбытового заказа через пользовательский функционал в учётной системе
- Бухгалтерия фактурирует все сбытовые заказы, проведённые в закрываемом периоде
- Выставляются акты на оплату поставщику
- В бухгалтерском учёте формируются проводки: **Дт76 «Расчёты по бонусам поставщиков» — Кт91 «Бонусы поставщиков»**

#### **3. Обработка в аналитической системе**
- Документы с суммой сбора передаются в аналитическую систему (ADB/SAP BW)
- Осуществляется **расчёт признания ретро-бонусов**:
  - Сумма сбора распределяется на приходы/продажи по базе распределения
  - Сбор, распределённый на приходы, признаётся по мере выбытия прихода (метод ФИФО)
  - Сбор, распределённый на продажи, признаётся в полном объёме по окончании периода признания
- После расчёта признания осуществляется **расчёт товарных резервов**

#### **4. Выпуск отчётности и проводки**
- Департамент финансового контроля (ДФК) осуществляет выпуск отчётности
- Данные из отчётов по итогам расчёта признания ретро-бонусов передаются в коммерческую бухгалтерию
- Бухгалтерия проводит сумму признанного бонуса проводкой: **Дт91 «Бонусы поставщиков» — Кт41 «Товары фин»**

![Схема процесса закрытия года](https://ai.sapiens.solutions/public/images/Project%20documentation/Детский%20мир/Доработки%20хранилища%202024/CAB-7606.%20Признания%20остатка%20ретро-бонусов/02%20Проектирование%20и%20требования/ФС21_Признание%20остатка%20бонуса%20в%20моменте_v1.00_20241028%20(1).docx/9.png)

### **5. Переливка входного остатка**
После годового финансового закрытия вся сумма бонусов, **не признанных на конец года**, переливается в следующий год как входной остаток бонусов, которые необходимо признать.

### **6. Январское финансовое закрытие**
Проходит аналогично годовому финансовому закрытию. Разница — в объёме проводимых документов.

### **7. Аудит (февраль)**
После январского финансового закрытия ежегодно проходит аудит по итогам года:
- Департамент ИТ получает запрос от департамента финансового контроля на выгрузки данных
- Выгружаются данные по: приходам, продажам, товарным остаткам, ретро-бонусам (признанным и в остатке), бонусам лояльности
- Аудит осуществляет сверки между учётной системой и хранилищем
- Осуществляется разбор признания конкретных документов

---

### **Ключевые понятия**

| Термин | Определение |
|--------|-------------|
| **Спец. период** | Финансовый период, в который признаются документы, относящиеся к году 1 и созданные после того, как закрыт декабрь года 1, но при этом сам год 1 еще открыт |
| **Закрытие периода** | Дата, после которой документ уже не может быть признан в данном (закрытом) периоде |
| **Закрытие года** | Дата, после которой документ уже не может быть признан в данном (закрытом) году, в том числе и в спец. периодах |

### **Принцип последовательности периодов**
Всегда соблюдается последовательность периодов. Если период закрыт, то этот период уже не переоткрывается, документы больше не признаются и период не удаляется из системы.

---

Нужна ли дополнительная информация по какому-либо этапу процесса?";;;;;;;;49.265;2026-06-22T11:30:59;;;;
rag_question_005;Детский мир;sapiense;;;;;В чем цель задачи признания остатка бонуса в моменте?;;"Улучшить финансовый результат компании путём полного признания остатка бонуса, который взимается с поставщика как премия за объём закупок, но по факту является маркетинговой компенсацией. Сейчас такой бонус признаётся по мере выбытия товара. Его необходимо признать сразу и в полном объёме. 
Системно признание зависшей суммы остатка должно пройти в аналитической системе (без изменений в учётной системе). Но при этом параллельно должны быть доступны результаты признания зависшей суммы остатка бонусов по методу ФИФО.  
Для обеспечения наличия двух расчётов по двум разным алгоритмам в один момент времени необходимо рассчитывать признание ретро-боунсов в двух аналитических системах паралелльно: 
• В системе ADB (Greenplum) планируется основной расчёт признания ретро-бонусов, который будет проходить во время финансового закрытия периода. Документы с типом признания «на приход», видом признания «Дисконт» и видом премии «Разовая доп.премия» (сокращённо «документы P26») должны быть обособлены в системе, для них должен быть изменён тип признания с признания «на приход» на признание «на реализацию». Сбор по документам P26 должен признаваться сразу по окончании периода признания, указанного в атрибутах фактуры. Бонусы по документам P26, зависшие на остатке на 31.12.2024 (включая сбор прошлых годов), будут признаны в полном объёме на 31.12.2024 за исключением бонусов в документах P26, у которых окончание периода признания – после 31.12.2024. Такие бонусы должны быть признаны в полном объёме в том месяце, в закрытие которого попадает дата окончания периода признания из сбытового заказа. Весь сбор, собранный после 31.12.2024 и попадающий под критерии {тип признания «на приход», вид признания «Дисконт», вид премии «Разовая доп.премия» - критерии должны выполняться одновременно}, должен быть признан в полном объёме на реализацию в том месяце, в который попадёт окончание периода признания.
• В системе SAP BW планируется дополнительный расчёт признания по текущим алгоритмам, который должен осуществляться после окончания финансового закрытия периода. Документы P26 должны признаваться «на приход».
Товарные резервы должны рассчитываться в двух вариантах: 
• на базе ретро-бонусов, рассчитанных в ADB (Greenplum), включая документы с изменённым типом признания, 
• а также на базе ретро-бонусов, рассчитанных в системе SAP BW.
Выгрузка аудиторам данных по реализации, товарным остаткам, приходам, ретро-бонусам, бонусам лояльности и т.п. должна осуществляться на основе признания, рассчитанного в системе SAP BW.
";;"## Цель задачи признания остатка бонуса в моменте

Согласно документации проекта CAB-7606 для клиента «Детский мир», **цель задачи** заключается в следующем:

> **Улучшить финансовый результат компании** путём полного признания остатка бонуса, который взимается с поставщика как премия за объём закупок, но по факту является маркетинговой компенсацией.

### Проблема, которую решает задача

На текущий момент в системе существуют документы с суммой сбора, которые:
- Проводятся как **премия за объём закупок** по договору поставки
- Но по факту являются **компенсацией за проведённые промоакции** и должны признаваться на реализацию

По текущим алгоритмам такие документы распределяются на приходы и признаются частично по методу ФИФО по мере выбытия товаров. Поскольку товар реализуется медленно, на остатке бонусов формируется сумма, которую компания **не может положить себе на баланс**.

### Решение

Системно признание «зависшей» суммы остатка должно пройти в аналитической системе (без изменений в учётной системе). Бонус необходимо признавать **сразу и в полном объёме**, а не по мере выбытия товара.

Для этого реализовано параллельное распознавание ретро-бонусов в двух системах:
- **ADB (Greenplum)** — основной расчёт с изменённым типом признания (на реализацию)
- **SAP BW** — дополнительный расчёт по текущим алгоритмам (для аудита и отчётности)";;;;;;;;19.948;2026-06-22T11:31:19;;;;
rag_question_006;Детский мир;sapiense;;;;;Опиши бизнес-процесс TO BE задачи признания остатка бонуса в моменте;;"В системе ADB (Greenplum) изменён алгоритм для расчёта признания документов P26. Для таких документов реализовано одновременное признание на приход и на продажи. «Одновременность» достигнута путём дублирования расчёта признания в аналитических системах ADB (Greenplum) и SAP BW:
• В системе SAP BW восстановлен функционал для расчёта признания бонусов по текущим алгоритмам (документы P26 признаются на приход). При этом документы P26 не обособляются отдельно, т.к. их можно будет выделить в отчёте по совокупности признаков «тип признания/вид признания/вид премии».
• В системе ADB (Greenplum) доработан функционал расчёта признания ретро-бонусов, доступна возможность признать сбор из документов P26 по новому алгоритму (документы P26 признаются на продажи), при этом в системе Greenplum для документов P26 произведена замена типа признания: с типа признания «на приход» на тип признания «на продажи».  Документы P26 с изменённым типом признания можно выделить в отчёте по новому значению аналитики Тип источника данных.
Основным расчётом считается расчёт в системе ADB (Greenplum): данный расчёт участвует в финансовом закрытии, признанные бонусы из ADB (Greenplum) уходят в смежные функционалы. Расчёт в SAP BW осуществляется после окончания финансового закрытия периода. 
Последовательность действий при закрытии 2024 года:
1.1. Разработан функционал в ADB (Greenplum) для моментального признания документов с типом признания «на приход», видом признания «Дисконт», видом премии «Разовая доп.премия». 
1.2. Восстановлен и актуализирован функционал признания ретро-бонусов в SAP BW.
1.3. Январь 2025 – годовое финансовое закрытие – документы с типом признания «на приход», видом признания «Дисконт», видом премии «Разовая доп.премия» признаются по новому алгоритму (бонус по документам признаётся полностью в моменте).
1.4. Расчёт товарных резервов с полностью признанной суммой из документов P26.
1.5. Департамент финансового контроля собирает данные из отчётов по итогам расчёта признания ретро-бонусов и передаёт их на проведение в коммерческую бухгалтерию.
1.6. Коммерческая бухгалтерия проводит признанные бонусы Дт91-Кт41 с учётом суммы по документам P26.
1.7. После окончания финансового закрытия – расчёт признания ретро-бонусов в SAP BW – стандартный расчёт признания (бонус по документам P26 находится на остатке и не может быть признан до реализации товара, на приходы которого он был начислен).
1.8. Расчёт товарных резервов с частично признанной суммой из документов P26.
1.9. Прохождение годового аудита (МСФО ДМК) – согласовывается возможность моментального признания документов P26 (срок 28 февраля 2025).
1.10. Прохождение аудита РСБУ ООО «ДМ» и МСФО ООО «ДМ» - аудит расчёта признания в SAP BW. 
";;"# Бизнес-процесс TO BE: Признание остатка бонуса в моменте

## 📋 Общая информация

Процесс описан в документе **ФС21_Признание остатка бонуса в моменте_v1.00** (проект CAB-7606, клиент «Детский мир»).

**Цель процесса:** Улучшить финансовый результат компании путём полного признания остатка бонуса, который взимается с поставщика как премия за объём закупок, но по факту является маркетинговой компенсацией.

---

## 🎯 Ключевые изменения TO BE

### 1. Параллельный расчёт в двух системах

| Система | Назначение | Алгоритм для документов P26 |
|---------|------------|----------------------------|
| **ADB (Greenplum)** | Основной расчёт для финансового закрытия | Признание **на реализацию** (полное признание в моменте) |
| **SAP BW** | Дополнительный расчёт для аудита и бизнес-отчётности | Признание **на приход** (по методу ФИФО, как раньше) |

### 2. Критерии документов P26

Документы обрабатываются по новому алгоритму при одновременном выполнении трёх условий:
- **Тип признания** = «P» (на приход)
- **Вид признания** = «26» (Дисконт)
- **Вид премии** = «ZB3» (Разовая доп.премия)

---

## 🔄 Схема бизнес-процесса TO BE

![Схема процесса признания бонусов](https://ai.sapiens.solutions/public/images/Project%20documentation/Детский%20мир/Доработки%20хранилища%202024/CAB-7606.%20Признания%20остатка%20ретро-бонусов/02%20Проектирование%20и%20требования/ФС21_Признание%20остатка%20бонуса%20в%20моменте_v1.00_20241028%20%281%29.docx/5.jpg)

---

## 📅 Последовательность действий при закрытии 2024 года

1. **Январь 2025 – годовое финансовое закрытие**
   - Документы P26 признаются по новому алгоритму (бонус признаётся полностью в моменте)
   - Расчёт товарных резервов с полностью признанной суммой из документов P26

2. **Департамент финансового контроля**
   - Собирает данные из отчётов по итогам расчёта признания ретро-бонусов
   - Передаёт данные на проведение в коммерческую бухгалтерию

3. **Коммерческая бухгалтерия**
   - Проводит признанные бонусы проводкой: **Дт91 – Кт41** с учётом суммы по документам P26

4. **После финансового закрытия – расчёт в SAP BW**
   - Стандартный расчёт признания (бонус по документам P26 находится на остатке)
   - Расчёт товарных резервов с частично признанной суммой

5. **Прохождение аудита**
   - Годовой аудит (МСФО ДМК) – согласование возможности моментального признания документов P26 (срок 28 февраля 2025)
   - Аудит РСБУ ООО «ДМ» и МСФО ООО «ДМ» – аудит расчёта признания в SAP BW

---

## 🛠 Технические доработки

### В системе ADB (Greenplum)

| Тип источника данных | Описание | Контур |
|---------------------|----------|--------|
| **FPS00** | Документы P26 | РФ МСФО |
| **FPS10** | Документы P26 | РФ РСБУ |
| **SPS00** | Входящий остаток бонусов из документов P26 | РФ МСФО |
| **SPS10** | Входящий остаток бонусов из документов P26 | РФ РСБУ |

**Изменения:**
- Для документов P26 тип признания меняется с **«P»** (на приход) на **«S»** (на реализацию)
- Документы обособляются до начала распределения (в таблице `retro_bonus_calc.azrb_a672`)

### В системе SAP BW

- Восстановлен функционал признания ретро-бонусов по старым алгоритмам
- Обеспечена выгрузка агрегированных данных по ретро-бонусам для бизнеса
- Восстановлен расчёт товарных резервов
- Обеспечена выгрузка данных для аудиторов

---

## 📊 Пример процесса обработки фактур

![Обработка фактур и расчёт бонусов](https://ai.sapiens.solutions/public/images/Project%20documentation/Детский%20мир/Доработки%20хранилища%202024/CAB-7606.%20Признания%20остатка%20ретро-бонусов/02%20Проектирование%20и%20требования/ФС21_Признание%20остатка%20бонуса%20в%20моменте_v1.00_20241028%20%281%29.docx/10.png)

---

## ✅ Требуемое тестирование

1. **Функциональное тестирование** – проверка работоспособности модели признания ретро-бонусов
2. **Регресс-тестирование** – проверка, что данные для остальных типов источников не изменились
3. **Нагрузочное тестирование** – время работы модели в ADB не должно увеличиться более чем на 10%

---

## 📌 Поддержка процессов

Доработка обеспечивает поддержку:
- Годового финансового закрытия 2024 года
- Переливки входного остатка после закрытия года
- Январского финансового закрытия 2025 года
- Выгрузки данных для годового аудита
- Февральского финансового закрытия 2025 года";;;;;;;;45.01;2026-06-22T11:32:04;;;;
rag_question_007;Детский мир;sapiense;;;;;Выведи список объектов, которые нужно архивировать для задачи уменьшения объема данных по ретро-бонусам;;"Объекты, подлежащие архивации:
ZRB_A69
ZRBB_A01
ZRB_A124
ZRB_A71
ZRBB_A11
ZRB_A100
ZRB_A74
ZRBB_A13
ZRB_A128
ZRB_A72
ZRBB_A15
ZRB_A112
ZRBK_A56
ZRBB_A17
ZRB_A60
ZRBK_A61
ZRB_A33
ZRBK_A54
ZRBK_A62
ZRB_A98
ZRBB_A04
ZRBK_A69  
ZRBK_A63  
ZRB_A68
ZRBK_A70
ZRB_A101
ZRB_A10
ZRBK_A64
ZRB_A129
ZRB_A70
ZRBB_A02
ZRB_A113
ZRB_A75
ZRBB_A12
ZRB_A61
ZRB_A73
ZRBB_A14
ZRBK_A55
ZRBK_A57
ZRBB_A16
ZRBB_A05
ZRBK_A59
ZRBB_A18
ZRB_A125
ZRBK_A60
ZRB_A99
";;"На основе документа по уменьшению объема данных ретро-бонусов в SAP BW, вот список объектов (провайдеров), которые нужно архивировать:

## Список провайдеров для архивации (выгрузки в GP в режиме FULL)

### Группа 1 (23 провайдера):
| Провайдер | Провайдер | Провайдер |
|-----------|-----------|-----------|
| ZRB_A69 | ZRBB_A01 | ZRB_A124 |
| ZRB_A71 | ZRBB_A11 | ZRB_A100 |
| ZRB_A74 | ZRBB_A13 | ZRB_A128 |
| ZRB_A72 | ZRBB_A15 | ZRB_A112 |
| ZRBK_A56 | ZRBB_A17 | ZRB_A60 |
| ZRBK_A61 | ZRB_A33 | ZRBK_A54 |
| ZRBK_A62 | ZRB_A98 | ZRBB_A04 |
| ZRBK_A69 | ZRBK_A63 | |

### Группа 2 (23 провайдера):
| Провайдер | Провайдер | Провайдер |
|-----------|-----------|-----------|
| ZRB_A68 | ZRBK_A70 | ZRB_A101 |
| ZRB_A10 | ZRBK_A64 | ZRB_A129 |
| ZRB_A70 | ZRBB_A02 | ZRB_A113 |
| ZRB_A75 | ZRBB_A12 | ZRB_A61 |
| ZRB_A73 | ZRBB_A14 | ZRBK_A55 |
| ZRBK_A57 | ZRBB_A16 | ZRBB_A05 |
| ZRBK_A59 | ZRBB_A18 | ZRB_A125 |
| ZRBK_A60 | ZRB_A99 | |

### Группа 3:
| Провайдер | Провайдер | Провайдер |
|-----------|-----------|-----------|
| ZGRA01 | ZRBK_43 | ZRBB_A21 |
| ZGRA02 | ZRB_42 | ZRBB_A22 |
| ZRBK_42 | ZRB_43 | ZRB_A178 |

## План работ по архивации:

1. **Архивировать** данные ретро-бонусов из SAP BW в GP в режиме FULL
2. **Выполнить сверку** данных между SAP BW и GP (33 провайдера)
3. **Удалить** заархивированные данные в SAP BW
4. **Проверить** участие документов P26 в обобщённой компенсации
5. **Снять метрики** по провайдерам для частичного удаления
6. **Частично удалить** данные по критериям:
   - «Тип признания не равен P» И «вид признания не равен 26» И «вид премии не равен ZB3»

**Источник:** Документ ""Уменьшение данных по ретробонусам в BW - план работ"" (проект Детский мир, CAB-8979)";;;;;;;;40.193;2026-06-22T11:32:45;;;;
rag_question_008;Детский мир;sapiense;;;;;В какое хранилище необходимо архивировать данные по ретро-бонусам? ;;Greenplum (GP);;"На основе найденной документации по проекту «Детский мир - Доработки хранилища 2024» я не нашёл прямой информации об **архивировании** данных по ретро-бонусам в конкретное хранилище.

Однако в документации описана следующая архитектура хранения и обработки данных по ретро-бонусам:

## Основные хранилища данных по ретро-бонусам:

| Хранилище | Назначение |
|-----------|------------|
| **Arenadata DB (ADB/Greenplum)** | Основное хранилище для расчёта ретро-бонусов. Сюда была выполнена миграция из SAP BW с увеличением скорости финансового закрытия в 20 раз |
| **SAP BW/HANA** | Дублирование расчёта агрегированных данных по бонусам для целей бизнес-отчётности |

## Детали из документации:

В документе «CAB-7606 Признание остатка ретро-бонусов v2» указано:

> **В ADB (Greenplum)** — обособление документов по заданным критериям и реализация отдельного алгоритма для их признания (доработка функций)
> 
> **В SAP BW** — дублирование расчёта агрегированных данных по бонусам для целей бизнес отчётности

---

⚠️ **Важно:** Если вам нужна информация именно об **архивировании** (долгосрочном хранении/переносе в архив), а не о текущем хранении данных, рекомендую:

1. Проверить документацию по регламентам архивирования данных в компании
2. Обратиться к руководителю проекта **Зимичеву Максиму** или команде проекта «Детский мир - Доработки хранилища 2024»

Хотите, чтобы я поискал дополнительную информацию по архивированию данных в других документах?";;;;;;;;35.52;2026-06-22T11:33:20;;;;
