id,domain,source_type,source_id,source_url,question_type,difficulty,question,context,expected_answer,scoring_rubric,model_answer,ragas_factual_correctness,ragas_semantic_similarity,ragas_final_score,manual_final_score,manual_comment,model,temperature,latency_sec,created_at,prompt_tokens,completion_tokens,total_tokens,error
habr_879914_001,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое массив и как его элементы располагаются в памяти?,Раздел про массивы.,Массив хранит элементы одного типа в непрерывном блоке памяти; доступ к элементу выполняется по индексу.,,"

Предоставленный контекст недостаточен. Массив — это структура данных, состоящая из элементов одного типа, расположенных в памяти последовательно (непрерывным блоком).",,,,,,qwen3.5-397b-a17b,0.0,110.255,2026-06-10T12:49:22,79.0,3330.0,3409.0,
habr_879914_002,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,Почему доступ к элементу массива по индексу обычно имеет сложность O(1)?,Раздел про массивы и операции с ними.,"Потому что адрес элемента можно вычислить напрямую по базовому адресу массива, размеру элемента и индексу.",,"

Предоставленный контекст не содержит объяснения. Обычно это O(1), так как элементы массива хранятся в непрерывной области памяти, и адрес любого элемента вычисляется напрямую по формуле: `базовый_адрес + (индекс × размер_элемента)`.",,,,,,qwen3.5-397b-a17b,0.0,128.601,2026-06-10T12:51:30,92.0,3891.0,3983.0,
habr_879914_003,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,comparison,easy,В чем основное отличие статического массива от динамического массива?,Раздел про массивы.,"Статический массив имеет фиксированный размер, а динамический может изменять размер за счет выделения нового блока памяти и копирования элементов.",,"

В предоставленном контексте нет информации. Основное отличие: статический массив имеет фиксированный размер, динамический — изменяемый.",,,,,,qwen3.5-397b-a17b,0.0,129.224,2026-06-10T12:53:40,82.0,3896.0,3978.0,
habr_879914_004,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,"Почему вставка элемента в середину массива обычно дороже, чем чтение элемента по индексу?",Раздел про массивы и стоимость операций.,"При вставке в середину нужно сдвигать последующие элементы, поэтому операция требует линейного времени O(n).",,"

В предоставленном контексте нет деталей. Обычно чтение имеет сложность O(1) (прямой доступ по индексу), а вставка — O(n), так как требует сдвига всех последующих элементов в памяти.",,,,,,qwen3.5-397b-a17b,0.0,4397.876,2026-06-10T14:06:58,92.0,3100.0,3192.0,
habr_879914_005,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое связный список и из чего состоит его узел?,Раздел про связные списки.,"Связный список состоит из узлов; каждый узел хранит данные и ссылку на следующий узел, а в двусвязном списке еще и ссылку на предыдущий.",,"

В предоставленном контексте недостаточно информации.

Связный список — это линейная структура данных, состоящая из узлов. Каждый узел содержит данные и ссылку (указатель) на следующий узел.",,,,,,qwen3.5-397b-a17b,0.0,141.609,2026-06-10T14:09:19,82.0,4279.0,4361.0,
habr_879914_006,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,application,medium,В какой ситуации связный список может быть удобнее массива?,Раздел про сравнение массивов и списков.,"Связный список удобен, когда важны частые вставки и удаления элементов без сдвига большого числа элементов.",,"

В предоставленном контексте недостаточно информации для ответа (указан только заголовок раздела).",,,,,,qwen3.5-397b-a17b,0.0,87.968,2026-06-10T14:10:47,84.0,2640.0,2724.0,
habr_879914_007,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,Почему доступ к произвольному элементу связного списка имеет сложность O(n)?,Раздел про связные списки и операции.,"Потому что элементы не лежат подряд в памяти, и для доступа к нужному элементу нужно пройти список от начала или другого известного узла.",,"

Потому что элементы хранятся в разрозненных участках памяти и связаны указателями. Прямая индексация невозможна, поэтому требуется последовательный перебор узлов от начала списка.",,,,,,qwen3.5-397b-a17b,0.0,155.151,2026-06-10T14:13:22,90.0,4683.0,4773.0,
habr_879914_008,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,comparison,easy,Чем односвязный список отличается от двусвязного?,Раздел про разновидности связных списков.,"В односвязном списке узел содержит ссылку только на следующий узел, а в двусвязном — на следующий и предыдущий.",,"

В предоставленном контексте недостаточно информации (только заголовок).

Отличие: узел односвязного списка хранит ссылку только на следующий элемент, а узел двусвязного — на следующий и предыдущий.",,,,,,qwen3.5-397b-a17b,0.0,73.747,2026-06-10T14:14:36,84.0,2172.0,2256.0,
habr_879914_009,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое стек и какой принцип работы он использует?,Раздел про стек.,Стек — структура данных с принципом LIFO: последним добавленный элемент извлекается первым.,,failed to answer,,,,,,qwen3.5-397b-a17b,0.0,424.777,2026-06-10T14:21:41,,,,hard_timeout_after_300.0_seconds
habr_879914_010,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Какие базовые операции обычно есть у стека?,Раздел про стек и его операции.,"Обычно у стека есть операции push для добавления, pop для извлечения и peek/top для просмотра верхнего элемента.",,"

В контексте нет информации. Базовые операции: push (добавление) и pop (удаление).",,,,,,qwen3.5-397b-a17b,0.0,127.965,2026-06-10T14:23:49,81.0,3875.0,3956.0,
