id,domain,source_type,source_id,source_url,question_type,difficulty,question,context,expected_answer,scoring_rubric,model_answer,ragas_factual_correctness,ragas_semantic_similarity,ragas_final_score,manual_final_score,manual_comment,model,temperature,latency_sec,created_at,prompt_tokens,completion_tokens,total_tokens,error
habr_879914_001,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое массив и как его элементы располагаются в памяти?,Раздел про массивы.,Массив хранит элементы одного типа в непрерывном блоке памяти; доступ к элементу выполняется по индексу.,,"

В предоставленном контексте недостаточно информации для ответа на этот вопрос.",0.0,0.027,0,,,qwen3.5-vl-122b-a10b-mlx-crack,0.0,22.777,2026-06-10T15:15:58,79.0,831.0,910.0,
habr_879914_002,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,Почему доступ к элементу массива по индексу обычно имеет сложность O(1)?,Раздел про массивы и операции с ними.,"Потому что адрес элемента можно вычислить напрямую по базовому адресу массива, размеру элемента и индексу.",,"

В предоставленном контексте недостаточно данных для ответа. Обычно сложность O(1) обусловлена непрерывным размещением элементов в памяти, что позволяет вычислять адрес напрямую.",1.0,0.4663,2,,,qwen3.5-vl-122b-a10b-mlx-crack,0.0,107.558,2026-06-10T15:17:45,92.0,3905.0,3997.0,
habr_879914_003,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,comparison,easy,В чем основное отличие статического массива от динамического массива?,Раздел про массивы.,"Статический массив имеет фиксированный размер, а динамический может изменять размер за счет выделения нового блока памяти и копирования элементов.",,"

В предоставленном контексте недостаточно информации для ответа. Основное отличие: статический массив имеет фиксированный размер, а динамический может изменяться в процессе работы.",1.0,0.6809,2,,,qwen3.5-vl-122b-a10b-mlx-crack,0.0,101.055,2026-06-10T15:19:26,82.0,3672.0,3754.0,
habr_879914_004,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,"Почему вставка элемента в середину массива обычно дороже, чем чтение элемента по индексу?",Раздел про массивы и стоимость операций.,"При вставке в середину нужно сдвигать последующие элементы, поэтому операция требует линейного времени O(n).",,"

В предоставленном контексте нет информации для ответа. Обычно вставка требует сдвига элементов (O(n)), а чтение по индексу выполняется за константное время (O(1)).",1.0,0.6323,2,,,qwen3.5-vl-122b-a10b-mlx-crack,0.0,79.685,2026-06-10T15:20:46,92.0,2979.0,3071.0,
habr_879914_005,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое связный список и из чего состоит его узел?,Раздел про связные списки.,"Связный список состоит из узлов; каждый узел хранит данные и ссылку на следующий узел, а в двусвязном списке еще и ссылку на предыдущий.",,"

В предоставленном контексте недостаточно информации для ответа на этот вопрос.",0.0,-0.0336,0,,,qwen3.5-vl-122b-a10b-mlx-crack,0.0,47.981,2026-06-10T15:21:34,82.0,1801.0,1883.0,
habr_879914_006,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,application,medium,В какой ситуации связный список может быть удобнее массива?,Раздел про сравнение массивов и списков.,"Связный список удобен, когда важны частые вставки и удаления элементов без сдвига большого числа элементов.",,"

В предоставленном контексте недостаточно информации для ответа на этот вопрос.",0.0,0.0272,0,,,qwen3.5-vl-122b-a10b-mlx-crack,0.0,25.736,2026-06-10T15:22:00,84.0,898.0,982.0,
habr_879914_007,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,Почему доступ к произвольному элементу связного списка имеет сложность O(n)?,Раздел про связные списки и операции.,"Потому что элементы не лежат подряд в памяти, и для доступа к нужному элементу нужно пройти список от начала или другого известного узла.",,failed to answer,0.0,0.0,0,,,qwen3.5-vl-122b-a10b-mlx-crack,0.0,180.028,2026-06-10T15:25:00,,,,hard_timeout_after_180.0_seconds
habr_879914_008,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,comparison,easy,Чем односвязный список отличается от двусвязного?,Раздел про разновидности связных списков.,"В односвязном списке узел содержит ссылку только на следующий узел, а в двусвязном — на следующий и предыдущий.",,"

В предоставленном контексте недостаточно данных для ответа на этот вопрос. Указан только заголовок раздела без описания структур списков.",0.0,0.3423,0,,,qwen3.5-vl-122b-a10b-mlx-crack,0.0,34.514,2026-06-10T15:25:34,84.0,1292.0,1376.0,
habr_879914_009,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое стек и какой принцип работы он использует?,Раздел про стек.,Стек — структура данных с принципом LIFO: последним добавленный элемент извлекается первым.,,"

В предоставленном контексте недостаточно информации для ответа на этот вопрос.",0.0,0.1324,0,,,qwen3.5-vl-122b-a10b-mlx-crack,0.0,25.204,2026-06-10T15:26:00,76.0,862.0,938.0,
habr_879914_010,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Какие базовые операции обычно есть у стека?,Раздел про стек и его операции.,"Обычно у стека есть операции push для добавления, pop для извлечения и peek/top для просмотра верхнего элемента.",,"

Данных недостаточно. В предоставленном контексте указан только заголовок раздела, но не перечислены операции.",0.0,0.1873,0,,,qwen3.5-vl-122b-a10b-mlx-crack,0.0,51.687,2026-06-10T15:26:51,81.0,1946.0,2027.0,
