"id","domain","source_type","source_id","source_url","question","context","expected_answer","question_type","difficulty","scoring_rubric"
"habr_879914_001","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Что такое массив и как его элементы располагаются в памяти?","Раздел про массивы.","Массив хранит элементы одного типа в непрерывном блоке памяти; доступ к элементу выполняется по индексу.","factual","easy",""
"habr_879914_002","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Почему доступ к элементу массива по индексу обычно имеет сложность O(1)?","Раздел про массивы и операции с ними.","Потому что адрес элемента можно вычислить напрямую по базовому адресу массива, размеру элемента и индексу.","reasoning","medium",""
"habr_879914_003","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","В чем основное отличие статического массива от динамического массива?","Раздел про массивы.","Статический массив имеет фиксированный размер, а динамический может изменять размер за счет выделения нового блока памяти и копирования элементов.","comparison","easy",""
"habr_879914_004","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Почему вставка элемента в середину массива обычно дороже, чем чтение элемента по индексу?","Раздел про массивы и стоимость операций.","При вставке в середину нужно сдвигать последующие элементы, поэтому операция требует линейного времени O(n).","reasoning","medium",""
"habr_879914_005","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Что такое связный список и из чего состоит его узел?","Раздел про связные списки.","Связный список состоит из узлов; каждый узел хранит данные и ссылку на следующий узел, а в двусвязном списке еще и ссылку на предыдущий.","factual","easy",""
"habr_879914_006","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","В какой ситуации связный список может быть удобнее массива?","Раздел про сравнение массивов и списков.","Связный список удобен, когда важны частые вставки и удаления элементов без сдвига большого числа элементов.","application","medium",""
"habr_879914_007","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Почему доступ к произвольному элементу связного списка имеет сложность O(n)?","Раздел про связные списки и операции.","Потому что элементы не лежат подряд в памяти, и для доступа к нужному элементу нужно пройти список от начала или другого известного узла.","reasoning","medium",""
"habr_879914_008","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Чем односвязный список отличается от двусвязного?","Раздел про разновидности связных списков.","В односвязном списке узел содержит ссылку только на следующий узел, а в двусвязном — на следующий и предыдущий.","comparison","easy",""
"habr_879914_009","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Что такое стек и какой принцип работы он использует?","Раздел про стек.","Стек — структура данных с принципом LIFO: последним добавленный элемент извлекается первым.","factual","easy",""
"habr_879914_010","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Какие базовые операции обычно есть у стека?","Раздел про стек и его операции.","Обычно у стека есть операции push для добавления, pop для извлечения и peek/top для просмотра верхнего элемента.","factual","easy",""
"habr_879914_011","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Приведи пример задачи, где естественно использовать стек.","Раздел про применение стека.","Стек естественно использовать для обработки скобочных выражений, отката действий, обхода в глубину или хранения вызовов функций.","application","medium",""
