id;domain;source_type;source_id;source_url;question_type;difficulty;question;context;expected_answer;scoring_rubric;model_answer;ragas_factual_correctness;ragas_semantic_similarity;ragas_final_score;manual_final_score;manual_comment;model;temperature;latency_sec;created_at;prompt_tokens;completion_tokens;total_tokens;error
rag_question_007;Детский мир;sapiense;;;;;Выведи список объектов, которые нужно архивировать для задачи уменьшения объема данных по ретро-бонусам;;"Объекты, подлежащие архивации:
ZRB_A69
ZRBB_A01
ZRB_A124
ZRB_A71
ZRBB_A11
ZRB_A100
ZRB_A74
ZRBB_A13
ZRB_A128
ZRB_A72
ZRBB_A15
ZRB_A112
ZRBK_A56
ZRBB_A17
ZRB_A60
ZRBK_A61
ZRB_A33
ZRBK_A54
ZRBK_A62
ZRB_A98
ZRBB_A04
ZRBK_A69  
ZRBK_A63  
ZRB_A68
ZRBK_A70
ZRB_A101
ZRB_A10
ZRBK_A64
ZRB_A129
ZRB_A70
ZRBB_A02
ZRB_A113
ZRB_A75
ZRBB_A12
ZRB_A61
ZRB_A73
ZRBB_A14
ZRBK_A55
ZRBK_A57
ZRBB_A16
ZRBB_A05
ZRBK_A59
ZRBB_A18
ZRB_A125
ZRBK_A60
ZRB_A99
";;;;;;;;;;;;;;;
rag_question_010;Детский мир;sapiense;;;;;Опиши работу с транзакцией в руководстве пользователя по кладовщикам;;"В разработке реализовано две транзакции:
• ZEWM_SET05 – ведение справочников
• ZEWM_SET05R – загрузка данных в справочники из EXCEL файлов для первоначальной массовой вставки
Для быстрого доступа эти транзакции можно добавить в избранное:
1. Нажмите правую кнопку мыши на папку «Избранное» и выберите «Вставить транзакцию»:
2. Далее введите название транзакции и нажмите «Enter»:
Транзакция «ZEWM_SET05» выглядит следующим образом:  
Транзакция состоит из 8-и таблиц, которые доступны для ведения. Для того, чтобы добавить новые записи, необходимо:
1. Нажмите кнопку «Новые записи».

2. После перехода на новое окно, в нем можно начать добавлять записи. Каждое ключевое поле ведется с помощью справочников, которые загружены в систему SAP BW. Нажмите в поле на кнопку с выпадающим списком.
3. Появится список доступных данных для этого поля.

4. Когда будут заполнены все поля нажмите «Enter» и выйдите из режима редактирования с сохранением данных.
 
5. Новая запись добавлена в таблицу.
 
Новые записи можно создавать без выбора из списка значений, используя прямой ввод, но если введенные данные не будут содержаться в справочнике, например, склада, то появится ошибка, что такого склада нет.
Так же есть возможность копировать уже существующие записи. Например, для склада «1410» добавим новый коэффициент должности, который будет действовать с 01.05.2024.
Чтобы скопировать запись, необходимо:
1.  Выделите запись и нажмите кнопку «Скопировать». 
2. В режиме редактирование скопированных записей измените дату и коэффициент, далее нажмите «Enter» и выйдите из режима редактирование с сохранением данных. 
3. Запись добавлена и с 01.05.2024 для должности «Специалист приемки» на «РЦ УРАЛ» в расчётах будет использоваться коэффициент 1,0. 
Для того, чтобы удалить запись, необходимо:
1. Выделите запись и нажмите кнопку «Удалить». Например, удалим запись, у которой изменялась дата в предыдущем примере. 
2. После удаления выйдите из режима редактирования с сохранением данных. 
Для индикации коэффициентов используется таблица «Индикация коэффициентов». Чтобы отключать коэффициенты из расчётов необходимо снимать галочку на необходимых коэффициентах.
Если в таблице очень много записей и появляется потребность в поиске нужных записей, можно воспользоваться кнопкой «Позиционирование» внизу формы вводы.
Эта кнопка позволяет переместиться к нужной записи на основании введенных данных. Например, необходимо найти номер склада «1210». После нажатия на кнопку «Позиционирования» введите необходимый номер склада и нажмите «Enter».
 
Далее таблица переместится к номеру складу, который был введен в поиске.
 В транзакции есть таблицы, которые могут управлять наличием данных и мэппингами:
• Коды исключения 
• Ограничение по строке
• Ограничение по смене
* Важно проверять редактируемые значения в таблицах! Ошибочные значения приведут к неправильному расчёту!
 
Таблица «Коды исключения для расчёта» необходима для фильтрации выработки из данных номеру склада, типу показателя, критерию оценки и типу документа. Например, если появится комбинация (Номер склада – Тип показателя – Критерий оценки – Тип документа), строки которой не должны попадать в итоговый расчёт, то необходимо добавить запись с ней в данную таблицу.
 Таблица «Ограничение по строке» необходима для ограничения выработки сотрудника у каждой входящей строки соответствующей комбинации (Номер склада – Тип показателя – Критерий оценки). Например, для выделенной строки: если выработка сотрудника в одной из входящих строк данных (до агрегации выработки за смену) для Номера склада «1020», Типа показателя «Исходящие» и Критерия оценки «Вес» составит
 > 1000, то выработка в этой строке, которая будет участвовать в дальнейшем расчете для итогового расчёта составит 1000. 
 Также существует возможность включения и отключения использования ограничения с помощью кнопки в столбце «Огр. строк»
  Таблица «Ограничение по смене» необходима для ограничения агрегированной выработки сотрудника за смену. Например, для выделенной строки: если выработка сотрудника по итогам смены (после агрегации выработки за смену) для Номера склада «1020», Типа показателя «Исходящие» и Критерия оценки «Вес» составит
 > 2500 (уже с учётом ограничения из таблицы «Ограничение по строке»), то выработка для сотрудника за смену по заданному типу показателя составит 2500. 
 Также существует возможность включения и отключения использования ограничения с помощью кнопки в столбце «Огр. смена»

ТРАНЗАКЦИЯ «ZEWM_SET05R». Транзакция используется для первоначальной массовой загрузки данных из EXCEL файла или из буфера обмена.

«Выбор объекта» позволяет выбирать необходимую таблицу, в которую будут загружаться данные.

Операция «Просмотр/Ведение», открывает таблицу и позволяет копировать данные из буфера обмена для массовой вставки.
Операция «Загрузка из файла» позволяет загружать в выбранную таблицу данные из EXCEL файла.
Операция «Просмотр/Ведение» работает следующим образом:
1. Сначала выберите таблицу для ведения. Например, «Коэфф. 1: Компенсационный».
2. Выбрав операцию «Просмотр/Ведение» нажмите «Выполнить».
3. Для редактирования таблицы нажмите «Изменить данные».
4. Когда таблица открыта для редактирования, доступны следующие опции:
4.1.  Вырезать запись
4.2.  Скопировать текст из ячеек
4.3.  Опция, которая вставляет данные из буфера обмена с перезаписью строк, либо с добавлением новых строк
4.4.  Отменить предыдущее изменение
4.5.  Добавить пустую строку
4.6.  Вставить пустую строку в выбранное место
4.7.  Удалить выбранную строку
4.8.  Скопировать выбранные строки
4.9.  Сортировать по возрастанию
4.10. Сортировать по убыванию
4.11. Поиск данных в ячейках
4.12. Фильтрация данных
4.13. Экспорт таблицы
5. Произведя какие-либо изменения, нажмите «Сохранить данные».
Операция «Загрузка из файла» работает следующим образом:
1. Выберите таблицу, в которую будут загружены данные из файла. Например, «Коэфф. 1: Компенсационный».
2. Выбрав операцию «Загрузка из файла» появится ячейка, в которой необходимо указать путь к файлу.
3. Далее выберите файл для загрузки и нажмите кнопку «Открыть».
4. После того, как файл будет выбран нажмите «Выполнить».
5. Если файл содержит некорректный шаблон, то появится ошибка, в которой указывается поле и строка, где содержатся некорректные данные. В ином случае появится окно, которое напоминает операцию «Просмотр/Ведение», где доступны те же опции для ведения таблицы. Если нет необходимости в ведении данных, то нажмите «Сохранить данные».
";;;;;;;;;;;;;;;
rag_question_011;Детский мир;sapiense;;;;;Покажи информацию по показателям мотивации РЦ;;"Мотивация РФ
QUERY - Z4MT_C01_Q004_RU. CP - Z4MT_C01

 Общие фильтры:
 ТО МАГАЗИН ФАКТ > 0
 CLASS_NUM = 'ALL_STORES'
 PLANT NOT IN ('','7040','7030','7010','3400','3200','1020','1010','7130','7110','4700','4600','1120') 
 PLANT < '3600' AND PLANT > '3699'
 PLANT < '7200' AND PLANT > '7400'
 CLASS_TYPE = '030'

ТО ПЛАН 
 Ограниченный показатель RPA_SAT с фильтром ZSALESSRC IN ('PLN','PLM','PLA','PLD')
 Уровни показателя:
 1. Z4MT_C01 - RPA_SAT
 2. CV_Z3MT_A02_ZPLANTA - RPA_SAT
 3. Z3MT_A02 - RPA_SAT
 4. Z3MT_C02 - RPA_SAT
 5. CV_R_MT_TO_PK (JOIN_17, JOIN_18, JOIN_19, JOIN_5):
        JOIN_17(INNER) PLM - /BIC/AZRSP_2800 (План продаж: ТО MP), /BI0/MPLANT (срез до месяца)
     JOIN_18(INNER) PLA - /BIC/AZRSP_2900 (План продаж: ТО Доп АУ), /BI0/MPLANT (срез до месяца)
     JOIN_19(INNER) PLD - /BIC/AZRSP_2700 (План продаж: ТО ND+Express), /BI0/MPLANT (срез до месяца)
     JOIN_5 (INNER) PLN - CV_R_MT_SALES_PLAN (План продаж: розница), /BI0/MPLANT (срез до дня)
         CV_R_MT_SALES_PLAN использует:
          1. /BIC/AZRSP_0100  (План продаж: ТО); 
       2. /BIC/AZRSP_2300  (План продаж: ТО (ДМ.RU)); 
       3. /BIC/AZRSP_1600  (План продаж: ТО (зоотовары)); 
       4. /BIC/AZRSP_0800  (План продаж: ТО Казахстан); 
       5. /BIC/AZBLRP_0100 (BLR: План ТО).
     

ТО МАГАЗИНА ФАКТ
 Формула: [Безнал ПК по группе] + [Безналичный расчёт] + [ТО ИМ] + RPA_TAT + ZMTRETIN - ZMTRETOUT
 Где:
  Безнал ПК по группе - ограниченный показатель 4Z4MT_C01-RKF001_RPA_S фильтром ZSALESSRC = 'OPK'
  Уровни показателя:
  1. Z4MT_C01 - RKF001_RPA_S
  2. CV_Z3MT_A02_ZPLANTA - RKF001_RPA_SAT_PK
  3. Z3MT_A02 - RKF001_RPA_SAT_PK
  4. Z3MT_C02 - RKF001_RPA_SAT_PK
  5. CV_R_MT_TO_PK - RKF001_RPA_SAT_PK = if(""MATL_GROUP""='601010010' and (not in(""MATERIAL"",'000000007000009746','000000007000011060','000000007000015013','000000007000015125')), ""RKF004_RPA_SAT"",0)
  6. CV_R_MT_TO_PK - RKF004_RPA_SAT = if((not in(""CLASS_NUM"",'ALL_ZOO_STORES') and in(""RPA_WGH3"",'T10','T15','T20','T25','T30','T35','T40','T45','T50','T55','T60')) or (in(""CLASS_NUM"",'ALL_ZOO_STORES') and in(""RPA_WGH3"",'T60','T65','T70')) or (leftstr(""ZSALESSRC"",2)='PL'),""RPA_SAT"",0)
  7. CV_R_MT_TO_PK (JOIN_2):
       JOIN_2 (INNER) - JOIN_1, /BI0/MPLANT (срез до месяца)
     JOIN_1 (INNER) - /BIC/AZSD_A502 (SD: фактура - данные позиции текущий расчет), /BI0/PMATERIAL !!!NETVAL_INV + TAX_AMOUNT!!!
  
  Безналичный расчёт - ограниченный показатель RPA_SAT фильтром ZSALESSRC = 'OPT'
  Уровни показателя:
  1. Z4MT_C01 - RPA_SAT
  2. CV_Z3MT_A02_ZPLANTA - RPA_SAT
  3. Z3MT_A02 - RPA_SAT
  4. Z3MT_C02 - RPA_SAT
  5. CV_R_MT_TO_PK (JOIN_2):
       JOIN_2 (INNER) - JOIN_1, /BI0/MPLANT (срез до дня)
     JOIN_1 (INNER) - /BIC/AZSD_A502 (SD: фактура - данные позиции текущий расчет), /BI0/PMATERIAL !!!NETVAL_INV + TAX_AMOUNT!!!
     
  ТО ИМ - ограниченный показатель RPA_SAT фильтром ZSALESSRC = 'INM'
  Уровни показателя:
  1. Z4MT_C01 - RPA_SAT
  2. CV_Z3MT_A02_ZPLANTA - RPA_SAT
  3. Z3MT_A02 - RPA_SAT
  4. Z3MT_C02 - RPA_SAT
  5. CV_R_MT_TO_PK (JOIN_11):
       JOIN_11(INNER) - JOIN_8, /BI0/MPLANT (срез до дня)
     JOIN_8 (INNER) - /BIC/AZSB_A012 (Интернет магазин), /BI0/PMATERIAL !!!/BIC/ZBILLSAT!!!




QUERY - Z4MT_C01_Q003_RU. CP - Z4MT_C01

 Общие фильтры:
 CLASS_NUM = 'ALL_STORES'
 PLANT NOT IN ('','7040','7030','7010','3400','3200','1020','1010','7130','7110','4700','4600','1120') 
 PLANT < '3600' AND PLANT > '3699'
 PLANT < '7200' AND PLANT > '7400'
 CLASS_TYPE = '030'
 INFOPROV = 'DM.mt/CV_Z3MT_A02_ZPLANTA

ТО ПК план
 Ограниченный показатель RPA_SAT с фильтром ZSALESSRC IN ('PLK')
 Уровни показателя:
 1. Z4MT_C01 - RPA_SAT
 2. CV_Z3MT_A02_ZPLANTA - RPA_SAT
 3. Z3MT_A02 - RPA_SAT
 4. Z3MT_C02 - RPA_SAT
 5. CV_R_MT_TO_PK (JOIN_6):
        JOIN_5 (INNER) - CV_R_MT_SALES_PLAN_PK (План продаж ПК: розница), /BI0/MPLANT (срез до дня)
         CV_R_MT_SALES_PLAN_PK использует:
          1. /BIC/AZRSP_0700  (План продаж: ТО ПК); 
       2. /BIC/AZRSP_2400  (План продаж: ТО ПК (ДМ.RU)); 
       3. /BIC/AZRSP_1900  (План продаж: ТО ПК (зоотовары)); 
       4. !!!!!!!!!Почему-то нет планов ПК Казахстан;
       5. /BIC/AZBLRP_0300 (BLR: План ТО ПК).

ТО ПК факт
 Ограниченный показатель 4Z4MT_C01-RKF001_RPA_S с фильтром ZSALESSRC IN ('RET')
 Уровни показателя:
 1. Z4MT_C01 - RKF001_RPA_S
 2. CV_Z3MT_A02_ZPLANTA - RKF001_RPA_SAT_PK
 3. Z3MT_A02 - RKF001_RPA_SAT_PK
 4. Z3MT_C02 - RKF001_RPA_SAT_PK
 5. CV_R_MT_TO_PK - RKF001_RPA_SAT_PK = if(""MATL_GROUP""='601010010' and (not in(""MATERIAL"",'000000007000009746','000000007000011060','000000007000015013','000000007000015125')), ""RKF004_RPA_SAT"",0)
 6. CV_R_MT_TO_PK - RKF004_RPA_SAT = if((not in(""CLASS_NUM"",'ALL_ZOO_STORES') and in(""RPA_WGH3"",'T10','T15','T20','T25','T30','T35','T40','T45','T50','T55','T60')) or (in(""CLASS_NUM"",'ALL_ZOO_STORES') and in(""RPA_WGH3"",'T60','T65','T70')) or (leftstr(""ZSALESSRC"",2)='PL'),""RPA_SAT"",0)
    7. CV_R_MT_TO_PK (JOIN_4):
         JOIN_4 (INNER) - JOIN_3, /BI0/MPLANT (срез до дня)
    JOIN_3 (INNER) - /BIC/AZRS_A102 (POSDM: Продажи текущий год), /BI0/PMATERIAL !!!NETVAL_INV + TAX_AMOUNT!!!

ТО ПК факт (б/н)
 Ограниченный показатель 4Z4MT_C01-RKF001_RPA_S с фильтром ZSALESSRC IN ('OPK')
 Уровни показателя:
 1. Z4MT_C01 - RKF001_RPA_S
 2. CV_Z3MT_A02_ZPLANTA - RKF001_RPA_SAT_PK
 3. Z3MT_A02 - RKF001_RPA_SAT_PK
 4. Z3MT_C02 - RKF001_RPA_SAT_PK
 5. CV_R_MT_TO_PK - RKF001_RPA_SAT_PK = if(""MATL_GROUP""='601010010' and (not in(""MATERIAL"",'000000007000009746','000000007000011060','000000007000015013','000000007000015125')), ""RKF004_RPA_SAT"",0)
 6. CV_R_MT_TO_PK - RKF004_RPA_SAT = if((not in(""CLASS_NUM"",'ALL_ZOO_STORES') and in(""RPA_WGH3"",'T10','T15','T20','T25','T30','T35','T40','T45','T50','T55','T60')) or (in(""CLASS_NUM"",'ALL_ZOO_STORES') and in(""RPA_WGH3"",'T60','T65','T70')) or (leftstr(""ZSALESSRC"",2)='PL'),""RPA_SAT"",0)
 7. CV_R_MT_TO_PK (JOIN_2):
   JOIN_2 (INNER) - JOIN_1, /BI0/MPLANT (срез до месяца)
    JOIN_1 (INNER) - /BIC/AZSD_A502 (SD: фактура - данные позиции текущий расчет), /BI0/PMATERIAL !!!NETVAL_INV + TAX_AMOUNT!!!


QUERY - Z4MT_C01_Q001_RU. CP - Z4MT_C01
 Общие фильтры:
 CLASS_NUM = 'ALL_STORES'
 PLANT NOT IN ('','7040','7030','7010','3400','3200','1020','1010','7130','7110','4700','4600','1120','8000','8210') 
 PLANT < '7200' AND PLANT > '7400'
 CLASS_TYPE = '030'
 INFOPROV = 'DM.mt/CV_Z3MT_A01_ZPLANTA
 ZREGOTD not in ('20008466','20009277','20011508','20011264','20011266','20011510','20011518')

Всего Принято документов Всего
 Показатель 4Z4MT_C01-RKF_009_DOC
 Уровни показателя:
 1. Z4MT_C01 - RKF_009_DOC
 2. CV_Z3MT_A01_ZPLANTA - RKF_009_DOC
 3. Z3MT_A01 - RKF_009_DOC
 4. Z3MT_C01 - RKF_009_DOC
 5. CV_R_MT_RECEIPT_JOURNAL - RKF_009_DOC_ALL = 1


Всего Принято документов Регламент
 Показатель 4Z4MT_C01-RKF_010_DOC
 Уровни показателя:
 1. Z4MT_C01 - RKF_010_DOC
 2. CV_Z3MT_A01_ZPLANTA - RKF_010_DOC
 3. Z3MT_A01 - RKF_010_DOC
 4. Z3MT_C01 - RKF_010_DOC
 5. CV_R_MT_RECEIPT_JOURNAL - RKF_009_DOC_RGL = if(""_BIC_ZHTDRCTIM""<=""_BIC_ZHTDRGTIM"",1,0) (ZMM_02)";;;;;;;;;;;;;;;
rag_question_015;Детский мир;sapiense;;;;;Какие отчёты Daily Sales необходимо контролировать во время утренней рассылки на Детском мире? И во сколько они стартуют?;;"0. Обновление данных по мотивации 08:40 ZMT_MC_TD_MOTIVATION_DATA
1. Daily Sales RU SB (PDF) 09:20 Z_DM_DS_RU_SB_PDF
2. Daily Sales SB (Россия) 09:40 Z_DM_DS_RF_SB
3. Daily Sales KZ SB (Казахстан) 09:45 Z_DM_DS_KZ_SB
4. Daily Sales BLR (Беларусь) 09:55 Z_DM_DS_BLR
5. Daily Sales IM 10:40 Z_DM_DS_IM
6. Daily Sales ZOO 10:42 Z_DM_DS_ZOO
7. Daily Sales IM ZOO 10:50 Z_DM_DS_IM_ZOO
8. Daily Sales DM.ru 10:52 Z_DM_DS_DMRU
9. Daily Sales ЕЩЁ 11:00 Z_DM_DS_DMRU";;;;;;;;;;;;;;;
rag_question_027;Детский мир;sapiense;;;;;Из ERP пришли некачественные данные. Данные в SAP BW приходят из экстрактора SAP ERP. Как посмотреть, из какой таблицы берёт данные этот эктсрактор? И как посмотреть сами данные? ;;"Как посмотреть данные в SAP ERP на основании экстрактора:

Определите имя экстрактора (например, 2LIS_, Z).
В SAP ERP откройте транзакцию RSO2, введите имя экстрактора и посмотрите, на какой таблице, просмотре или функциональном модуле он основан.
Если экстрактор основан на таблице или view — используйте транзакцию SE16 или SE16N, введите имя таблицы/view, задайте нужные параметры отбора и просмотрите данные.
Если экстрактор использует функциональный модуль (FM), откройте его код (двойной клик по имени FM в RSO2) и определите, из каких таблиц он читает данные, затем аналогично используйте SE16/SE16N.
Для стандартных 2LIS_* экстракторов источник данных также можно найти через RSO2 или документацию SAP.
В случае ошибок или расхождений — инициируйте исправление данных в ERP и перезапустите загрузку в BW.
Пример для """"""""Детского мира"""""""":

В RSO2 определили, что экстрактор ZLOG_LC_TD_05 основан на таблице ZBW_R_VEKP.
В SE16N открыли ZBW_R_VEKP, ввели нужные параметры (например, EXIDV) и просмотрели записи.
Рекомендации:

Всегда документируйте соответствие экстрактор — таблица/просмотр.
Для сложных случаев анализируйте код функционального модуля.
Используйте транзакции RSO2, SE16/SE16N, SM37 для комплексного анализа.
";;;;;;;;;;;;;;;
rag_question_031;Детский мир;sapiense;;;;;Перечисли список полей отчёта в excel для Точной приёмки;;"Логин
ФИО
GUID сотрудника
Должность
Номер склада
Дата смены
Процесс склада
Наименование процесса склада
Вид товара (Категория АУ)
Компенсационный коэффициент (К1)
Мотивационный коэффициент (К2)
Сезонный коэффициент (К3)
Коэффициент должности (К4)
Коэффициент КГТ
Кол-во отработанных штук/ЕО (всего)
Выработка (кол-во отработанных штук/ЕО) в расчёт
Норма выработки
Процент нормы выработки (по процессу склада)
Итоговый процент нормы выработки
Тариф за 1 штуку/ЕО
Итоговая сумма премии
Базовая оплата
Оплата за выполнение нормы выработки (мотивационная оплата)
Компенсация всего (ночн. +прадн.)
Компенсация ночная
Компенсация праздничная
Компенсация ночная-праздничная
Доплата по акциям
Доплата по должности
Доплата за КГТ
Комментарий по изменениям";;;;;;;;;;;;;;;
rag_question_033;Детский мир;sapiense;;;;;Как заполняется экран с настройками для МП и ОЛ?;;"Существует два способа заполнения экранов. 
Вручную, через транзакцию ZEWM_SET02:
1.Нажмите кнопку «Новые записи».
2.После перехода на новое окно, в нем можно начать добавлять записи. Каждое ключевое поле ведется с помощью справочников, которые загружены в систему SAP BW. Чтобы выбрать запись из справочника, необходимо нажать на следующую кнопку.
Появится список доступных данных для этого поля
3.Когда будут заполнены все поля нажмите «Enter» и выйдите из режима редактирования с сохранением данных.
4.Новая запись добавлена в таблицу.
Новые записи можно создавать без выбора из списка значений, используя прямой ввод, но если введенные данные не будут содержаться в справочнике, например, склада, то появится ошибка, что такого склада нет.

Автоматически, через транзакцию ZEWM_SET04R.
Транзакция используется для первоначальной массовой загрузки данных из EXCEL файла или из буфера обмена.
Раздел «Выбор объекта» позволяет выбирать необходимую таблицу, в которую будут загружаться данные.
Операция «Просмотр/Ведение», открывает таблицу и позволяет копировать данные из буфера обмена для массовой вставки.
Операция «Загрузка из файла» позволяет загружать в выбранную таблицу данные из EXCEL файла.
Операция «Просмотр/Ведение» работает следующим образом:
Сначала выберите таблицу для ведения. Например, «Коэфф. 1: Компенсационный».
Выбрав операцию «Просмотр/Ведение» нажмите «Выполнить».
Для редактирования таблицы нажмите «Изменить данные».
Когда таблица открыта для редактирования, доступны следующие опции.
Произведя какие-либо изменения, нажмите «Сохранить данные».

При выборе «Загрузка из файла»:
1.Выберите таблицу, в которую будут загружены данные из файла. Например, «Коэфф. 1: Компенсационный».
2.Выбрав операцию «Загрузка из файла» появится ячейка, в которой необходимо указать путь к файлу. Для выбора файла нажмите на следующую кнопку.
3.Далее выберите файл для загрузки и нажмите кнопку «Открыть».
4.После того, как файл будет выбран нажмите «Выполнить».
5.Если файл содержит некорректный шаблон, то появится ошибка, в которой указывается поле и строка, где содержатся некорректные данные. В ином случае появится окно, которое напоминает операцию «Просмотр/Ведение», где доступны те же опции для ведения таблицы. Если нет необходимости в ведении данных, то нажмите «Сохранить данные».";;;;;;;;;;;;;;;
rag_question_036;ВТБ;sapiense;;;;;"Что это за ошибка и как её исправить: liquibase.exception.DatabaseException: ERROR: type ""sapcalday"" does not exist ?";;"Не найден тип данных. Решение: Добавить тип данных в yaml:

- changeSet:
      id: type_sapcalday
      author: v.smorodinov
      changes:
        - createDomain:
            domainName: sapcalday
            dataType: character varying
            constraints:
              nullable: false";;;;;;;;;;;;;;;
rag_question_052;Комус;sapiense;;;;;"Что делать если в рамках проведения регресстеста в области ""Проверка"" столбцы имеют значение ""ЛОЖЬ""?";;"В случае, если в указанных столбцах отображается «Ложь», необходимо для каждого артикула проанализировать исходные данные и алгоритмы.

Для этого нужно:
1. Открыть файл «Алгоритмы расчета» вкладку «11КПЛ Итоговый расчет», найти артикул 146501
2. Проверить в файле «Исходные данные регресс теста Расчет цен» на вкладке «Акции» с помощью поиска (Ctrl+F) есть ли акция по артикулу 146501
3. В файле «Выгрузки из DT» проверить на вкладке «DT_T99_TOKS» для артикула 146501 принадлежность к токсичному ассортименту.
4. Исправить в столбце «Булево значение» на «Истинно», активировать данные в таблице и запустить расчет в РМЦО по указанному артикулу повторно.";;;;;;;;;;;;;;;
rag_question_053;Комус;sapiense;;;;;"Как должно быть заполнено поле ""Конкурент (осн./доп.)"" в интерфейсе «Цены конкурентов» на вкладке «Агрегация»? Значение должно быть ""осн."" или ""доп.""?";;"Поле  ""Конкурент (осн./доп.)"" Должно иметь значение ""осн.""";;;;;;;;;;;;;;;
