id,domain,source_type,source_id,source_url,question_type,difficulty,question,context,expected_answer,scoring_rubric,model_answer,ragas_factual_correctness,ragas_semantic_similarity,ragas_final_score,manual_final_score,manual_comment,model,temperature,latency_sec,created_at,prompt_tokens,completion_tokens,total_tokens,error
habr_879914_001,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое массив и как его элементы располагаются в памяти?,Раздел про массивы.,Массив хранит элементы одного типа в непрерывном блоке памяти; доступ к элементу выполняется по индексу.,,"

Контекст не содержит информации для ответа. Массив — это упорядоченная совокупность элементов одного типа, расположенных в памяти непрерывно (последовательно).",1.0,0.6271,2,,,qwen/qwen3.5-35b-a3b,0,58.71,2026-06-09T17:33:21,79.0,3988.0,4067.0,
habr_879914_002,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,Почему доступ к элементу массива по индексу обычно имеет сложность O(1)?,Раздел про массивы и операции с ними.,"Потому что адрес элемента можно вычислить напрямую по базовому адресу массива, размеру элемента и индексу.",,"

В предоставленном контексте нет информации об этом. Обычно доступ O(1) обусловлен непрерывным хранением элементов в памяти, что позволяет вычислять адрес элемента за константное время.",1.0,0.5196,2,,,qwen/qwen3.5-35b-a3b,0,95.065,2026-06-09T17:34:56,92.0,6560.0,6652.0,
habr_879914_003,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,comparison,easy,В чем основное отличие статического массива от динамического массива?,Раздел про массивы.,"Статический массив имеет фиксированный размер, а динамический может изменять размер за счет выделения нового блока памяти и копирования элементов.",,"

В предоставленном контексте нет информации об этом. Основное отличие: статический массив имеет фиксированный размер, заданный при создании, а динамический может изменять свой размер во время выполнения программы.",1.0,0.7114,2,,,qwen/qwen3.5-35b-a3b,0,78.648,2026-06-09T17:36:15,82.0,5410.0,5492.0,
habr_879914_004,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,"Почему вставка элемента в середину массива обычно дороже, чем чтение элемента по индексу?",Раздел про массивы и стоимость операций.,"При вставке в середину нужно сдвигать последующие элементы, поэтому операция требует линейного времени O(n).",,"

Чтение по индексу выполняется за O(1) благодаря прямому доступу к памяти. Вставка в середину требует сдвига всех последующих элементов для освобождения места, что занимает O(n) времени.",1.0,0.6745,2,,,qwen/qwen3.5-35b-a3b,0,39.321,2026-06-09T17:36:54,92.0,2646.0,2738.0,
habr_879914_005,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое связный список и из чего состоит его узел?,Раздел про связные списки.,"Связный список состоит из узлов; каждый узел хранит данные и ссылку на следующий узел, а в двусвязном списке еще и ссылку на предыдущий.",,"

Связный список — это линейная структура данных, элементы которой соединены ссылками. Узел состоит из поля для хранения данных и ссылки на следующий узел.",1.0,0.853,2,,,qwen/qwen3.5-35b-a3b,0,115.972,2026-06-09T17:38:50,82.0,8024.0,8106.0,
habr_879914_006,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,application,medium,В какой ситуации связный список может быть удобнее массива?,Раздел про сравнение массивов и списков.,"Связный список удобен, когда важны частые вставки и удаления элементов без сдвига большого числа элементов.",,"

В предоставленном контексте нет информации для ответа. Обычно связный список удобнее при частых вставках и удалении элементов, так как не требует сдвига остальных данных.",1.0,0.6706,2,,,qwen/qwen3.5-35b-a3b,0,84.932,2026-06-09T17:40:15,84.0,5850.0,5934.0,
habr_879914_007,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,reasoning,medium,Почему доступ к произвольному элементу связного списка имеет сложность O(n)?,Раздел про связные списки и операции.,"Потому что элементы не лежат подряд в памяти, и для доступа к нужному элементу нужно пройти список от начала или другого известного узла.",,"

Предоставленного контекста недостаточно для ответа (там только заголовок раздела).

По сути: элементы связного списка хранятся в разрозненных ячейках памяти и связаны указателями. Для доступа к элементу по индексу необходимо последовательно пройти от начала списка до нужной позиции, что требует O(n) шагов.",1.0,0.7534,2,,,qwen/qwen3.5-35b-a3b,0,39.652,2026-06-09T17:40:54,90.0,2661.0,2751.0,
habr_879914_008,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,comparison,easy,Чем односвязный список отличается от двусвязного?,Раздел про разновидности связных списков.,"В односвязном списке узел содержит ссылку только на следующий узел, а в двусвязном — на следующий и предыдущий.",,failed to answer,0.0,0.0,0,,,qwen/qwen3.5-35b-a3b,0,120.022,2026-06-09T17:42:54,,,,hard_timeout_after_120.0_seconds
habr_879914_009,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Что такое стек и какой принцип работы он использует?,Раздел про стек.,Стек — структура данных с принципом LIFO: последним добавленный элемент извлекается первым.,,"

Предоставленный контекст не содержит информации для ответа. Стек — это линейная структура данных, работающая по принципу LIFO (последним пришел — первым ушел).",1.0,0.7947,2,,,qwen/qwen3.5-35b-a3b,0,36.94,2026-06-09T17:43:31,76.0,2470.0,2546.0,
habr_879914_010,data_structures,article,habr_879914,https://habr.com/ru/articles/879914/,factual,easy,Какие базовые операции обычно есть у стека?,Раздел про стек и его операции.,"Обычно у стека есть операции push для добавления, pop для извлечения и peek/top для просмотра верхнего элемента.",,"

Базовые операции стека: push (добавление элемента на вершину) и pop (удаление с вершины). Также часто используется peek (просмотр верхнего элемента без удаления).",1.0,0.9186,2,,,qwen/qwen3.5-35b-a3b,0,65.221,2026-06-09T17:44:37,81.0,4481.0,4562.0,
